Date,Open,High,Low,Close,Adj Close,Volume
2023-01-12,83.160004,83.519997,82.330002,83.279999,82.919350,3893800
2023-01-13,82.800003,83.959999,82.730003,83.790001,83.427139,3482600
2023-01-17,83.930000,84.089996,82.870003,82.949997,82.590775,3471500
2023-01-18,83.709999,83.830002,81.739998,81.779999,81.425842,4722300
2023-01-19,81.160004,81.489998,80.510002,81.150002,80.798576,4079900
2023-01-20,81.360001,82.839996,80.930000,82.779999,82.421516,3448700
2023-01-23,82.669998,83.400002,82.269997,83.050003,82.690346,6248700
2023-01-24,82.589996,83.220001,81.900002,83.099998,82.740128,4680500
2023-01-25,82.190002,83.300003,81.910004,83.269997,82.909393,3601900
2023-01-26,82.570000,83.709999,82.309998,83.669998,83.307655,5753100
2023-01-27,83.099998,83.989998,83.019997,83.400002,83.038834,3419700
2023-01-30,82.889999,83.879997,82.720001,82.830002,82.471298,5210700
2023-01-31,82.889999,84.680000,82.889999,84.650002,84.283417,3871300
2023-02-01,84.160004,85.900002,83.610001,85.209999,84.840988,7223600
2023-02-02,84.839996,85.190002,83.669998,84.940002,84.572166,6163900
2023-02-03,84.010002,84.680000,83.290001,83.410004,83.048790,5937900
2023-02-06,82.669998,83.000000,82.050003,82.489998,82.132767,6262300
2023-02-07,82.379997,83.809998,82.339996,83.599998,83.237961,7552900
2023-02-08,83.160004,83.959999,82.870003,82.930000,82.570869,5265900
2023-02-09,83.570000,83.750000,81.360001,81.730003,81.376068,8330600
2023-02-10,81.550003,82.150002,81.059998,82.029999,81.674759,3508000
2023-02-13,82.169998,82.629997,81.639999,82.459999,82.102898,2749300
2023-02-14,82.110001,82.879997,81.699997,82.650002,82.292076,4107500
2023-02-15,82.099998,83.029999,81.879997,83.010002,82.650520,3978400
2023-02-16,81.860001,83.029999,81.660004,82.070000,81.714592,4336800
2023-02-17,81.500000,81.580002,80.860001,81.300003,80.947929,3726200
2023-02-21,80.879997,81.160004,79.839996,79.959999,79.613724,5900300
2023-02-22,80.320000,80.959999,79.910004,80.559998,80.211128,5934400
2023-02-23,80.860001,81.199997,79.459999,80.650002,80.300743,5596200
2023-02-24,79.290001,81.300003,78.870003,81.190002,80.838402,9324100
2023-02-27,81.709999,82.230003,81.379997,81.459999,81.107231,6469800
2023-02-28,81.440002,82.360001,81.290001,81.830002,81.475632,8546800
